ADM2_ES,socioecon_region
Liberia,Chorotega
Nicoya,Chorotega
Santa Cruz,Chorotega
Bagaces,Chorotega
Carrillo,Chorotega
Cañas,Chorotega
Abangares,Chorotega
Tilaran,Chorotega
Nandayure,Chorotega
La Cruz,Chorotega
Hojancha,Chorotega
Upala,Chorotega
Puntarenas,Central Pacific
Esparza,Central Pacific
Montes De Oro,Central Pacific
Aguirre,Central Pacific
Parrita,Central Pacific
Garabito,Central Pacific
San Mateo,Central Pacific
Orotina,Central Pacific
Perez Zeledon,Brunca
Buenos Aires,Brunca
Osa,Brunca
Golfito,Brunca
Coto Brus,Brunca
Corredores,Brunca
Limon,H. Atlantica
Pococi,H. Atlantica
Siquirres,H. Atlantica
Talamanca,H. Atlantica
Matina,H. Atlantica
Guacimo,H. Atlantica
Sarapiqui,H. Norte
San Carlos,H. Norte
Los Chiles,H. Norte
Guatuso,H. Norte
Alajuela,Central
San Ramon,Central
San Jose,Central
Escazu,Central
Desamparados,Central
Puriscal,Central
Vazquez De Coronado,Central
Mora,Central
Tarrazu,Central
Goicoechea,Central
Santa Ana,Central
Alajuelita,Central
Acosta,Central
Moravia,Central
Tibas,Central
Montes De Oca,Central
Dota,Central
Curridabat,Central
Leon Cortes,Central
Turrubares,Central
Grecia,Central
Atenas,Central
Naranjo,Central
Palmares,Central
Poas,Central
Alfaro Ruiz,Central
Valverde Vega,Central
Cartago,Central
Paraiso,Central
La Union,Central
Jimenez,Central
Turrialba,Central
Alvarado,Central
Oreamuno,Central
El Guarco,Central
Heredia,Central
Barva,Central
Santo Domingo,Central
Santa Barbara,Central
San Rafael,Central
San Isidro,Central
Belen,Central
Flores,Central
San Pablo,Central
Aserri,Central
