"activity_id","institution_id","source_id","experiment_id","member_id","table_id","variable_id","grid_label","zstore","dcpp_init_year","version","use"
"DAMIP","CSIRO-ARCCSS","ACCESS-CM2","hist-nat","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/DAMIP/CSIRO-ARCCSS/ACCESS-CM2/hist-nat/r1i1p1f1/Amon/tas/gn/v20201120/",NA,20201120,"all"
"CMIP","CSIRO-ARCCSS","ACCESS-CM2","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r1i1p1f1/Amon/tas/gn/v20191108/",NA,20191108,"all"
"ScenarioMIP","CSIRO-ARCCSS","ACCESS-CM2","ssp126","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp126/r1i1p1f1/Amon/tas/gn/v20210317/",NA,20210317,"all"
"ScenarioMIP","CSIRO-ARCCSS","ACCESS-CM2","ssp245","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r1i1p1f1/Amon/tas/gn/v20191108/",NA,20191108,"all"
"ScenarioMIP","CSIRO-ARCCSS","ACCESS-CM2","ssp370","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp370/r1i1p1f1/Amon/tas/gn/v20191108/",NA,20191108,"all"
"DAMIP","CSIRO","ACCESS-ESM1-5","hist-nat","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/DAMIP/CSIRO/ACCESS-ESM1-5/hist-nat/r1i1p1f1/Amon/tas/gn/v20200615/",NA,20200615,"historical"
"CMIP","CSIRO","ACCESS-ESM1-5","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r1i1p1f1/Amon/tas/gn/v20191115/",NA,20191115,"historical"
"CMIP","CSIRO","ACCESS-ESM1-5","historical","r31i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r31i1p1f1/Amon/tas/gn/v20210525/",NA,20210525,"future"
"ScenarioMIP","CSIRO","ACCESS-ESM1-5","ssp126","r31i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp126/r31i1p1f1/Amon/tas/gn/v20210712/",NA,20210712,"future"
"ScenarioMIP","CSIRO","ACCESS-ESM1-5","ssp245","r31i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r31i1p1f1/Amon/tas/gn/v20210712/",NA,20210712,"future"
"ScenarioMIP","CSIRO","ACCESS-ESM1-5","ssp370","r31i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp370/r31i1p1f1/Amon/tas/gn/v20210624/",NA,20210624,"future"
"CMIP","AWI","AWI-CM-1-1-MR","historical","r1i1p1f1","Amon","tas","gn","s3://cmip6-pds/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/historical/r1i1p1f1/Amon/tas/gn/v20200720/",NA,20200720,"all"
